year_quarter,year,quarter,region_en,region_ar,classification_ar,classification_en,transaction_count,median_price,median_area,median_price_per_m2,avg_price,avg_area,total_value
202002.0,2020.0,2.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,810,800000.0,750.0,1133.0,2253786.0,2884.6,1825566295.0
202002.0,2020.0,2.0,Al Baha,منطقة الباحة,تجاري,Commercial,6,187500.0,825.0,250.0,217500.0,796.4,1305000.0
202002.0,2020.0,2.0,Al Jouf,منطقة الجوف,تجاري,Commercial,169,135000.0,621.2,190.0,329125.0,23795.4,55622124.0
202002.0,2020.0,2.0,Jazan,منطقة جازان,تجاري,Commercial,95,260000.0,642.5,327.0,491372.0,970.5,46680366.0
202002.0,2020.0,2.0,Tabuk,منطقة تبوك,تجاري,Commercial,237,665000.0,640.0,972.0,721034.0,707.3,170884959.0
202002.0,2020.0,2.0,Madinah,منطقة المدينة المنورة,تجاري,Commercial,196,500000.0,625.0,872.0,1317477.0,934.0,258225459.0
202002.0,2020.0,2.0,Hail,منطقة حائل,تجاري,Commercial,249,250000.0,750.0,360.0,331701.0,4191.6,82593510.0
202002.0,2020.0,2.0,Asir,منطقة عسير,تجاري,Commercial,377,350000.0,600.0,669.0,601722.0,684.3,226849381.0
202002.0,2020.0,2.0,Najran,منطقة نجران,تجاري,Commercial,143,82500.0,800.0,103.0,137362.0,1218.4,19642800.0
202002.0,2020.0,2.0,Riyadh,منطقة الرياض,تجاري,Commercial,1359,1022250.0,810.0,1500.0,33669408.0,5478.7,45756725547.0
202002.0,2020.0,2.0,Northern Borders,منطقة الحدود الشمالية,تجاري,Commercial,184,117500.0,660.0,178.0,223847.0,708.3,41187794.0
202002.0,2020.0,2.0,Eastern Province,منطقة الشرقية,تجاري,Commercial,1276,560250.0,750.0,698.0,1640537.0,7875.0,2093324769.0
202002.0,2020.0,2.0,Qassim,منطقة القصيم,تجاري,Commercial,651,175000.0,661.5,227.0,575334.0,18892.2,374542523.0
202002.0,2020.0,2.0,Najran,منطقة نجران,زراعي,Agricultural,15,1700000.0,50000.0,50.0,1845230.0,43339.4,27678445.0
202002.0,2020.0,2.0,Qassim,منطقة القصيم,زراعي,Agricultural,150,337500.0,17755.3,16.0,1073970.0,121649.2,161095543.0
202002.0,2020.0,2.0,Riyadh,منطقة الرياض,زراعي,Agricultural,829,330000.0,10000.0,48.0,1345005.0,47031.7,1115009541.0
202002.0,2020.0,2.0,Asir,منطقة عسير,زراعي,Agricultural,29,240000.0,3917.5,55.0,1439171.0,16925.2,41735956.0
202002.0,2020.0,2.0,Northern Borders,منطقة الحدود الشمالية,زراعي,Agricultural,5,50000.0,60000.0,1.0,56200.0,90500.0,281000.0
202002.0,2020.0,2.0,Eastern Province,منطقة الشرقية,زراعي,Agricultural,89,500000.0,2475.0,94.0,3300817.0,48808.4,293772670.0
202002.0,2020.0,2.0,Makkah,منطقة مكة المكرمة,زراعي,Agricultural,18,325000.0,10050.0,35.0,607350.0,22946.4,10932300.0
