city,region_en,region_ar,base_year,latest_year,year_span,base_transactions,latest_transactions,base_value,latest_value,latest_median_price,latest_median_price_per_m2,transaction_cagr,value_cagr,growth_rank
الخبراء,Qassim,منطقة القصيم,2020.0,2025.0,5.0,490,308,52609940.0,23613982.0,40000.0,61.72839506172839,-0.0887,-0.148,48
القطيف,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,1806,1133,1258544048.0,1098409449.0,666963.0,2034.8837209302326,-0.089,-0.0269,49
النعيريه,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,1116,679,174396031.0,98263361.0,40000.0,50.56890012642225,-0.0946,-0.1084,50
الخبر,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,6984,4215,8837299926.0,7123711025.0,713750.0,2747.7632941301404,-0.0961,-0.0422,51
القصب,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,89,53,8893250.0,23286864.0,250000.0,271.84466019417476,-0.0985,0.2123,52
الخرج,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,5875,3497,1903465906.0,2021802042.0,300000.0,464.25,-0.0986,0.0121,53
تيماء,Tabuk,منطقة تبوك,2020.0,2025.0,5.0,438,260,39157038.0,60743042.0,50000.0,64.28335296183806,-0.0991,0.0918,54
رابغ,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,1046,619,137304921.0,175737490.0,230000.0,398.02126570762493,-0.0996,0.0506,55
شقراء,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,1289,760,161593125.0,211860761.0,160000.0,275.1811594202899,-0.1003,0.0557,56
جيزان,Jazan,منطقة جازان,2020.0,2025.0,5.0,2867,1654,1006333628.0,856575339.0,351211.0,648.8990476190476,-0.1042,-0.0317,57
الاحساء,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,740,409,418158606.0,298843244.0,600000.0,1500.0,-0.1118,-0.065,58
الهفوف,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,7076,3867,2946393708.0,2095951435.0,440000.0,1000.0,-0.1138,-0.0658,59
طبرجل,Al Jouf,منطقة الجوف,2020.0,2025.0,5.0,1159,629,194799574.0,217122580.0,329333.0,2371.3493663594472,-0.1151,0.0219,60
الحريق,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,188,102,38338160.0,18428633.0,90000.0,151.5151515151515,-0.1151,-0.1363,61
لينه,Northern Borders,منطقة الحدود الشمالية,2020.0,2025.0,5.0,56,30,1665000.0,1496785.0,17500.0,35.92032967032967,-0.1174,-0.0211,62
حقل,Tabuk,منطقة تبوك,2020.0,2025.0,5.0,169,90,50769500.0,36272266.0,200000.0,390.10956466660383,-0.1184,-0.065,63
