year,quarter,region_en,region_ar,transaction_count,total_value,median_price,median_price_per_m2,avg_deal_value
2021.0,2.0,Asir,منطقة عسير,3485,1142464367.0,150000.0,225.0,327823.3477761836
2021.0,3.0,Asir,منطقة عسير,2514,882928109.0,200000.0,300.0,351204.4984089101
2021.0,4.0,Asir,منطقة عسير,3069,1192273574.0,200000.0,368.66359447004606,388489.27142391657
2022.0,1.0,Asir,منطقة عسير,2658,1076775066.0,200000.0,356.07025707916046,405107.24830699776
2022.0,2.0,Asir,منطقة عسير,2453,977699621.0,270000.0,444.44444444444446,398573.0211985324
2022.0,3.0,Asir,منطقة عسير,2407,1354080827.0,200000.0,333.3333333333333,562559.545907769
2022.0,4.0,Asir,منطقة عسير,1909,1231802364.0,155000.0,263.4920634920635,645260.5364064955
2023.0,1.0,Asir,منطقة عسير,1902,843547252.0,180000.0,283.41593523434085,443505.3901156677
2023.0,2.0,Asir,منطقة عسير,1898,951591973.1899996,300000.0,643.9496036435764,501365.6339251842
2023.0,3.0,Asir,منطقة عسير,2622,1162388904.63,394500.0,606.060606060606,443321.47392448515
2023.0,4.0,Asir,منطقة عسير,2109,1070160685.0,200000.0,336.0,507425.6448553817
2024.0,1.0,Asir,منطقة عسير,2077,1026247247.0,246736.0,450.0009550915933,494100.74482426577
2024.0,2.0,Asir,منطقة عسير,3940,2150115456.0,300000.0,610.9041862052445,545714.5827411168
2024.0,3.0,Asir,منطقة عسير,2679,1550395100.0,348830.0,651.4285714285714,578721.5752146323
2024.0,4.0,Asir,منطقة عسير,2639,1323697124.0,250000.0,437.5,501590.42212959455
2025.0,1.0,Asir,منطقة عسير,2443,1310397128.0,385000.0,760.0,536388.5092099877
2025.0,3.0,Asir,منطقة عسير,2478,1341629091.0,300000.0,568.7339102260155,541416.098062954
2025.0,4.0,Asir,منطقة عسير,2375,1151342921.0,359700.0,766.2835249042146,484775.9667368421
2020.0,1.0,Eastern Province,منطقة الشرقية,10469,5793485777.0,280000.0,487.5,553394.381220747
2020.0,2.0,Eastern Province,منطقة الشرقية,7309,6690630765.0,500000.0,898.2035928143713,915396.1916814885
2020.0,3.0,Eastern Province,منطقة الشرقية,8031,4012552791.0,250000.0,433.3333333333333,499633.0209189391
2020.0,4.0,Eastern Province,منطقة الشرقية,11599,9082257924.0,300000.0,480.7692307692308,783020.771100957
2021.0,1.0,Eastern Province,منطقة الشرقية,12684,7914894010.0,300000.0,510.0,624006.1502680542
2021.0,2.0,Eastern Province,منطقة الشرقية,8821,6208289915.0,300000.0,550.2883333333333,703807.9486452783
2021.0,3.0,Eastern Province,منطقة الشرقية,6048,4743503347.0,400000.0,781.9109589955958,784309.4158399471
2021.0,4.0,Eastern Province,منطقة الشرقية,7890,6759166324.0,440500.0,914.2857142857143,856675.0727503168
2022.0,1.0,Eastern Province,منطقة الشرقية,8060,7247204657.0,400000.0,800.0,899156.9053349876
2022.0,2.0,Eastern Province,منطقة الشرقية,7521,10322045962.0,500000.0,1030.25,1372429.9909586492
2022.0,3.0,Eastern Province,منطقة الشرقية,6591,7079162912.0,420000.0,893.0365475207072,1074065.0754058564
2022.0,4.0,Eastern Province,منطقة الشرقية,6909,9848611255.0,410000.0,902.1739130434783,1425475.6484295847
2023.0,1.0,Eastern Province,منطقة الشرقية,6862,7145452605.0,405000.0,830.0066401062418,1041307.5786942582
2023.0,2.0,Eastern Province,منطقة الشرقية,5719,5323646434.009994,500000.0,1025.6410256410256,930870.1580713401
